Gene	Inheritance_model
MOP2	AD
HIF2A	AD
ECYT4	AD
PIGF	AR
OORS	AR
CRIPT	AR
SSMDF	AR
TTC7A	AR
TTC7	AR
KIAA1140	AR
MINAT	AR
GIDID	AR
CALM2	AD
LQT15	AD
EPCAM	AR
ACSTD1	AR
TROP1	AR
M4S1	AR
MIC18	AR
DIAR5	AR
HNPCC8	AR
MSH2	AD,AR
COCA1	AD,AR
FCC1	AD,AR
HNPCC1	AD,AR
MMRCS2	AD,AR
MSH6	AD,AR
GTBP	AD,AR
HNPCC5	AD,AR
MMRCS3	AD,AR
FBXO11	AD
FBX11	AD
VIT1	AD
PRMT9	AD
IDDFBA	AD
LHCGR	AD,AR
LHR	AD,AR
LCGR	AD,AR
FSHR	AD,AR
ODG1	AD,AR
NRXN1	AR
PTHSL2	AR
SCZD17	AR
CCDC88A	AR
KIAA1212	AR
HKRP1	AR
GIRDIN	AR
APE	AR
GIV	AR
PEHOL	AR
PNPT1	AR
OLD35	AR
COXPD13	AR
DFNB70	AR
EFEMP1	AD
FBNL	AD
DHRD	AD
PHF9	AR
FANCL	AR
BCL11A	AD
CTIP1	AD
EVI9	AD
KIAA1809	AD
DILOS	AD
PEX13	AR
ZWS	AR
PBD11A	AR
PBD11B	AR
WDPCP	AR
C2orf86	AR
BBS15	AR
CHDTHP	AR
MDH1	AR
DEE88	AR
KAR	AR
UGP2	AR
UGPP2	AR
DEE83	AR
SLC1A4	AR
SATT	AR
ASCT1	AR
SPATCCM	AR
OFC2	AD,AR
PEE1	AD
PREG1	AD
ANTXR1	AR
TEM8	AR
ATR	AD,AR
GAPO	AR
GFPT1	AR
GFAT1	AR
GFPT1L	AR
MSLG	AR
CMS12	AR
CMSTA1	AR
NFU1	AR
HIRIP	AR
MMDS1	AR
ASPRV1	AD
SASP	AD
TAPS	AD
MUNO	AD
ADLI	AD
TIA1	AD,AR
WDM	AD,AR
ALS26	AD,AR
FIGLA	AD
POF6	AD
ATP6V1B1	AR
ATP6B1	AR
VPP3	AD,AR
DRTA2	AR
MCEE	AR
DYSF	AR
LGMDR2	AR
MMD1	AR
EXOC6B	AR
SEC15B	AR
KIAA0919	AR
